iter	Passed	Remaining
0	144	143867
1	145	72484
2	146	48703
3	147	36817
4	149	29766
5	151	25093
6	153	21754
7	155	19248
8	157	17346
9	159	15790
10	161	14513
11	163	13483
12	166	12616
13	167	11827
14	170	11173
15	172	10591
16	174	10062
17	175	9570
18	177	9174
19	179	8789
20	180	8408
21	182	8091
22	183	7805
23	185	7540
24	187	7304
25	188	7076
26	190	6859
27	191	6659
28	193	6484
29	194	6299
30	196	6128
31	197	5973
32	198	5827
33	200	5692
34	201	5568
35	203	5441
36	204	5322
37	206	5237
38	208	5138
39	209	5035
40	211	4945
41	212	4846
42	213	4761
43	215	4683
44	216	4597
45	217	4518
46	219	4449
47	220	4381
48	221	4305
49	222	4233
50	224	4176
51	225	4112
52	227	4056
53	228	4001
54	229	3949
55	230	3891
56	231	3833
57	233	3788
58	234	3742
59	235	3696
60	237	3650
61	238	3602
62	239	3562
63	240	3517
64	241	3472
65	242	3435
66	243	3394
67	244	3348
68	245	3311
69	246	3275
70	247	3238
71	248	3201
72	249	3166
73	250	3131
74	251	3096
75	251	3062
76	252	3028
77	253	2997
78	254	2967
79	255	2936
80	256	2905
81	256	2876
82	257	2847
83	258	2818
84	258	2787
85	259	2761
86	260	2732
87	261	2706
88	262	2682
89	262	2658
90	263	2634
91	264	2612
92	265	2589
93	266	2567
94	267	2545
95	268	2523
96	268	2503
97	269	2482
98	270	2463
99	271	2444
100	272	2424
101	272	2401
102	273	2383
103	274	2365
104	275	2347
105	276	2332
106	277	2314
107	278	2297
108	278	2280
109	279	2262
110	280	2246
111	281	2230
112	282	2214
113	282	2199
114	283	2184
115	284	2167
116	285	2152
117	286	2137
118	286	2122
119	287	2107
120	288	2093
121	289	2079
122	289	2063
123	290	2050
124	291	2038
125	292	2025
126	292	2013
127	293	1998
128	294	1986
129	295	1974
130	295	1962
131	296	1950
132	297	1939
133	298	1927
134	299	1917
135	300	1906
136	300	1895
137	301	1883
138	302	1873
139	303	1862
140	304	1852
141	305	1844
142	306	1834
143	306	1824
144	307	1814
145	308	1804
146	309	1795
147	310	1786
148	311	1777
149	311	1767
150	312	1759
151	313	1749
152	314	1740
153	315	1731
154	316	1722
155	316	1713
156	317	1705
157	318	1696
158	319	1690
159	320	1684
160	321	1676
161	322	1670
162	323	1662
163	324	1655
164	325	1648
165	326	1641
166	327	1633
167	328	1626
168	329	1618
169	330	1611
170	330	1603
171	331	1596
172	332	1589
173	333	1581
174	333	1574
175	334	1567
176	335	1560
177	336	1554
178	337	1547
179	338	1540
180	338	1531
181	339	1524
182	340	1518
183	340	1512
184	341	1505
185	342	1500
186	343	1493
187	344	1487
188	345	1481
189	346	1475
190	347	1469
191	348	1464
192	348	1458
193	349	1452
194	350	1447
195	351	1441
196	352	1435
197	352	1429
198	353	1424
199	354	1418
200	355	1413
201	356	1407
202	357	1402
203	358	1397
204	359	1392
205	359	1387
206	360	1382
207	361	1377
208	362	1372
209	363	1367
210	364	1362
211	365	1357
212	366	1352
213	366	1347
214	367	1342
215	368	1337
216	369	1332
217	370	1327
218	370	1322
219	371	1317
220	372	1312
221	373	1308
222	374	1303
223	374	1298
224	375	1294
225	376	1290
226	377	1286
227	378	1282
228	379	1277
229	380	1273
230	381	1268
231	381	1264
232	382	1259
233	383	1255
234	384	1251
235	385	1247
236	386	1243
237	387	1239
238	387	1235
239	388	1231
240	389	1227
241	390	1223
242	391	1219
243	392	1215
244	393	1211
245	394	1207
246	394	1204
247	395	1200
248	396	1196
249	397	1192
250	398	1188
251	399	1184
252	399	1180
253	400	1176
254	401	1173
255	402	1169
256	403	1165
257	403	1161
258	404	1158
259	405	1155
260	406	1151
261	407	1148
262	408	1144
263	409	1141
264	410	1137
265	411	1134
266	411	1130
267	412	1127
268	413	1124
269	414	1120
270	415	1117
271	416	1114
272	417	1110
273	417	1107
274	418	1104
275	419	1101
276	420	1098
277	421	1095
278	422	1091
279	423	1088
280	424	1085
281	425	1082
282	425	1078
283	426	1075
284	427	1072
285	428	1069
286	429	1065
287	429	1062
288	430	1059
289	431	1056
290	432	1053
291	433	1051
292	435	1049
293	436	1047
294	437	1044
295	438	1042
296	439	1039
297	440	1037
298	441	1034
299	442	1032
300	443	1029
301	444	1027
302	445	1024
303	446	1022
304	447	1020
305	449	1018
306	450	1016
307	451	1014
308	452	1011
309	453	1009
310	454	1006
311	455	1004
312	456	1002
313	457	999
314	458	997
315	459	995
316	460	992
317	461	990
318	462	987
319	463	984
320	464	981
321	465	979
322	465	976
323	466	973
324	467	970
325	468	968
326	469	965
327	470	963
328	471	960
329	471	957
330	472	955
331	473	952
332	474	950
333	475	947
334	476	945
335	477	942
336	477	940
337	478	937
338	479	935
339	480	932
340	481	930
341	482	927
342	483	925
343	483	922
344	484	920
345	485	918
346	486	915
347	487	913
348	488	910
349	489	908
350	489	905
351	490	903
352	491	900
353	492	898
354	493	896
355	494	893
356	494	891
357	495	889
358	496	886
359	497	884
360	498	881
361	499	879
362	499	877
363	500	874
364	501	872
365	502	870
366	503	868
367	504	866
368	505	864
369	506	862
370	507	860
371	508	858
372	509	855
373	510	853
374	510	851
375	511	849
376	512	846
377	513	844
378	514	842
379	515	840
380	515	838
381	516	835
382	517	833
383	518	831
384	519	829
385	520	827
386	521	825
387	522	823
388	522	821
389	523	819
390	524	817
391	525	815
392	526	813
393	527	811
394	528	809
395	529	807
396	530	805
397	530	802
398	531	800
399	532	798
400	533	796
401	534	794
402	535	792
403	536	790
404	537	789
405	537	787
406	538	784
407	539	782
408	540	780
409	541	778
410	541	776
411	542	774
412	543	772
413	544	770
414	545	768
415	545	766
416	546	764
417	547	762
418	548	761
419	549	759
420	550	757
421	551	755
422	552	753
423	553	751
424	554	749
425	554	747
426	555	745
427	556	743
428	557	741
429	558	740
430	559	738
431	560	736
432	560	734
433	561	732
434	562	730
435	563	729
436	564	727
437	565	725
438	566	723
439	566	721
440	567	719
441	568	717
442	569	715
443	570	714
444	571	712
445	571	710
446	572	708
447	573	706
448	574	704
449	575	703
450	576	701
451	577	699
452	577	697
453	578	696
454	579	694
455	580	692
456	581	690
457	582	688
458	582	687
459	583	685
460	584	683
461	585	681
462	586	680
463	587	678
464	588	676
465	588	674
466	589	673
467	590	671
468	591	669
469	592	668
470	593	666
471	594	664
472	595	662
473	595	661
474	596	659
475	597	657
476	598	656
477	599	654
478	600	652
479	601	651
480	601	649
481	602	647
482	603	646
483	604	644
484	605	642
485	606	641
486	607	639
487	607	637
488	609	636
489	609	634
490	610	633
491	611	631
492	612	629
493	613	628
494	614	626
495	615	624
496	615	623
497	616	621
498	617	619
499	618	618
500	618	616
501	619	615
502	621	613
503	622	612
504	623	610
505	623	609
506	624	607
507	625	605
508	626	604
509	627	602
510	628	600
511	628	599
512	629	597
513	630	596
514	631	594
515	632	592
516	633	591
517	634	590
518	635	588
519	635	587
520	636	585
521	637	583
522	638	582
523	639	580
524	639	579
525	640	577
526	641	575
527	642	574
528	643	572
529	644	571
530	644	569
531	645	568
532	646	566
533	647	565
534	648	563
535	649	562
536	650	560
537	651	559
538	651	557
539	652	556
540	653	554
541	654	553
542	655	551
543	656	550
544	657	548
545	657	547
